date,customer_id,product_id,page_views,purchase_amount
2022-11-15,CUST-24701,PROD-96336,3,154.02
2022-05-26,CUST-66487,PROD-72444,48,192.68
2022-08-02,CUST-87731,PROD-95724,16,438.57
2022-12-16,CUST-15002,PROD-97397,30,109.99
2022-08-09,CUST-73554,PROD-68913,68,392.67
2023-03-02,CUST-96906,PROD-64983,38,374.24
2022-09-19,CUST-92173,PROD-55210,13,86.59
2023-02-08,CUST-26779,PROD-79290,59,230.62
2022-10-28,CUST-63958,PROD-45570,39,120.09
2023-03-26,CUST-47320,PROD-40878,68,496.66
2022-04-26,CUST-28923,PROD-49768,41,82.9
2023-02-13,CUST-74735,PROD-64589,62,330.42
2023-03-25,CUST-24253,PROD-74300,42,164.1
2022-11-10,CUST-32719,PROD-78168,39,167.55
2022-12-26,CUST-82620,PROD-78826,15,449.24
2022-11-25,CUST-89983,PROD-49629,11,385.24
2022-02-04,CUST-26634,PROD-43091,19,421.13
2023-04-25,CUST-78486,PROD-23625,58,244.04
2022-11-20,CUST-87790,PROD-12657,32,37.15
2023-04-03,CUST-40716,PROD-57710,37,1.55
2022-08-21,CUST-77486,PROD-76251,19,184.16
2022-02-25,CUST-84820,PROD-13889,48,360.3
2023-03-18,CUST-85395,PROD-82384,78,408.34
2023-03-11,CUST-20956,PROD-33300,52,158.42
2022-11-28,CUST-42663,PROD-43039,69,304.99
2022-10-22,CUST-54563,PROD-30810,23,370.88
2022-08-25,CUST-21351,PROD-80827,24,154.4
2022-05-16,CUST-77444,PROD-49000,35,462.51
2023-01-09,CUST-23168,PROD-92544,44,4.71
2023-03-19,CUST-21102,PROD-44063,44,228.1
2022-10-18,CUST-80986,PROD-28260,74,233.2
2023-03-01,CUST-72187,PROD-77550,41,43.46
2022-01-14,CUST-92017,PROD-64928,5,239.09
2022-03-16,CUST-74146,PROD-19304,57,333.48
2022-06-08,CUST-50486,PROD-32831,33,181.83
2023-01-25,CUST-66614,PROD-42161,4,148.73
2022-10-03,CUST-26038,PROD-13201,1,333.08
2022-10-14,CUST-77961,PROD-65173,5,238.1
2022-12-21,CUST-19756,PROD-79306,68,404.79
2022-06-21,CUST-61570,PROD-80284,41,110.15
2022-12-03,CUST-52744,PROD-98040,97,483.21
2022-04-08,CUST-94288,PROD-66336,5,373.09
2022-03-31,CUST-58785,PROD-35748,22,14.17
2022-08-14,CUST-96942,PROD-28059,50,173.31
2022-01-24,CUST-71223,PROD-17035,26,494.75
2023-02-25,CUST-54488,PROD-18289,35,207.05
2022-12-27,CUST-56297,PROD-30404,43,270.15
2023-03-15,CUST-68885,PROD-55092,81,183.06
2022-01-02,CUST-53627,PROD-51439,31,395.13
2022-05-08,CUST-48952,PROD-65758,76,325.65
2022-08-26,CUST-20461,PROD-40646,96,139.61
2022-08-21,CUST-33557,PROD-72075,45,335.07
2022-03-08,CUST-79297,PROD-66575,67,383.43
2022-09-05,CUST-80363,PROD-49573,68,458.65
2022-10-12,CUST-73907,PROD-15657,25,71.68
2022-09-05,CUST-38627,PROD-72154,70,64.94
2023-02-16,CUST-90109,PROD-79645,88,233.49
2022-11-11,CUST-17147,PROD-52556,23,94.2
2023-03-19,CUST-52149,PROD-86610,22,428.56
2022-04-29,CUST-69701,PROD-90276,58,283.89
2022-01-16,CUST-17676,PROD-88191,59,414.24
2022-09-10,CUST-91968,PROD-40402,17,265.76
2022-08-19,CUST-88791,PROD-85203,73,148.94
2023-04-12,CUST-94097,PROD-54950,12,465.57
2022-02-14,CUST-34848,PROD-49548,71,227.5
2023-03-22,CUST-66937,PROD-34553,74,265.9
2022-11-28,CUST-64255,PROD-30542,94,422.47
2023-04-14,CUST-87783,PROD-15607,37,443.25
2023-02-02,CUST-80010,PROD-15232,30,155.21
2022-08-07,CUST-66174,PROD-15408,10,495.33
2022-10-11,CUST-37614,PROD-89438,78,255.85
2023-01-20,CUST-30676,PROD-40038,90,23.67
2022-08-20,CUST-59019,PROD-85953,44,216.4
2022-10-21,CUST-36492,PROD-83934,9,80.63
2022-08-07,CUST-47200,PROD-56489,74,219.23
2022-09-13,CUST-36682,PROD-90398,97,246.79
2022-04-02,CUST-38777,PROD-89999,26,20.96
2022-03-09,CUST-40854,PROD-85969,31,197.06
2022-02-21,CUST-57775,PROD-18173,71,0.05
2022-02-25,CUST-51343,PROD-36244,48,388.85
2023-03-25,CUST-53677,PROD-15128,23,478.39
2022-05-08,CUST-89402,PROD-16765,19,195.41
2022-04-12,CUST-68973,PROD-14040,76,170.02
2022-11-22,CUST-45743,PROD-10175,35,445.87
2022-05-18,CUST-42889,PROD-47857,34,449.55
2022-05-02,CUST-19387,PROD-31889,94,42.04
2022-10-05,CUST-52229,PROD-90914,53,390.31
2023-03-20,CUST-91635,PROD-27737,46,104.84
2022-11-02,CUST-66522,PROD-76794,31,164.87
2022-05-25,CUST-31748,PROD-53580,14,300.67
2022-07-29,CUST-41905,PROD-63647,82,369.69
2023-04-23,CUST-74154,PROD-73631,27,308.16
2022-08-19,CUST-64238,PROD-25101,60,20.2
2022-08-30,CUST-57407,PROD-28251,65,51.35
2022-08-26,CUST-16079,PROD-45165,4,361.77
2023-04-25,CUST-23578,PROD-92985,7,162.43
